CNT,CNTSCHID,REGION,STRATUM,LOC,COMP,SCSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,STUBI,TEABI,RESSI,STAFI,total_homework_time,CPERIODS,SCIENCE,READING,MATH,mean_reading_attitude,mean_science_attitude,mean_math_attitude
CZE,20300015,20300,CZE21,0,3,212,76,136,11.1579,19,1.4,1.2,2.25,1.75,2.9444444444444446,30.166666666666668,541.3074333333333,546.3141166666667,529.9120888888889,2.7222222222222223,2.8333333333333335,2.759259259259259
CZE,20300016,20300,CZE14,0,1,151,70,81,10.7857,14,1.8,2.2,1.75,1.5,1.75,19.75,487.6660625,470.62805,470.3424,2.666666666666667,2.75,2.2083333333333335
CZE,20300017,20300,CZE30,1,1,204,113,91,8.6809,23.5,2.4,2.6,1.25,3.25,2.272727272727273,37.90909090909091,459.15527272727275,468.6814636363636,455.53832727272726,2.9696969696969697,2.272727272727273,2.3636363636363638
CZE,20300018,20300,CZE30,1,3,371,206,165,10.9118,34,1.8,1.8,2.5,1.5,2.3714285714285714,33.371428571428574,545.7640228571429,532.53922,526.24762,2.6666666666666665,2.4857142857142858,2.3333333333333335
CZE,20300019,20300,CZE29,1,1,439,214,225,9.5435,46,1.4,2.2,2.75,2,1.8,30.333333333333332,538.6533266666667,543.84488,564.03806,2.8666666666666667,2.7444444444444445,2.8666666666666667
CZE,20300020,20300,CZE30,1,1,198,7,191,11.6471,17,1.8,1,1.25,1,2.25,31.833333333333332,506.03086666666667,525.7302583333334,484.706125,2.8333333333333335,3.0277777777777777,2.2222222222222223
CZE,20300021,20300,CZE11,1,1,773,418,355,14.0545,55,1,2,2.5,1.25,1.65,33,484.252885,494.9829,519.81241,2.683333333333333,2.5666666666666664,2.8333333333333335
CZE,20300022,20300,CZE02,1,1,386,203,183,16.0833,24,1.4,1.6,1,2,2.2222222222222223,29.666666666666668,462.0568,464.9554888888889,463.5706333333333,2.6666666666666665,2.7037037037037037,2.259259259259259
CZE,20300023,20300,CZE06,1,3,543,205,338,14.6757,37,2.4,2,1.75,2.25,1.5833333333333333,32.5,413.02745,404.9089,403.78645,2.361111111111111,2.25,2.0833333333333335
CZE,20300024,20300,CZE28,0,1,300,102,198,14.2857,21,1.8,1.8,1,1.75,2.2,33.1,647.85672,632.1607,629.34705,3.2,3.2,2.8666666666666667
CZE,20300025,20300,CZE13,0,3,190,108,82,13.1034,14.5,1.2,2,2.5,1.5,2.2,31.4,490.57565999999997,483.00358,467.53164,2.9333333333333336,3.1333333333333333,2.7333333333333334
CZE,20300026,20300,CZE05,0,1,409,200,209,15.1481,27,3.2,2.8,1.5,3.75,2.2222222222222223,26,427.2077888888889,441.17653333333334,427.77872222222226,2.7037037037037037,2.740740740740741,2.6296296296296298
CZE,20300027,20300,CZE14,0,1,284,141,143,9.9649,28.5,2.4,2.4,1.25,1.75,2.2,35.4,447.50658,422.96518,421.36307999999997,2.6666666666666665,2.2666666666666666,2.3333333333333335
CZE,20300028,20300,CZE06,1,2,486,236,250,17.0526,28.5,1.8,1.8,2.25,1.25,1.4545454545454546,28.181818181818183,502.0877,493.9331909090909,500.5525272727273,2.606060606060606,2.7575757575757573,2.3636363636363638
CZE,20300029,20300,CZE15,1,1,648,330,318,6.1714,105,1.4,1.2,3.25,2.25,2.3055555555555554,34.77777777777778,594.0955944444445,594.9486722222223,590.9744305555555,2.814814814814815,2.9074074074074074,2.935185185185185
CZE,20300030,20300,CZE02,0,3,NA,NA,NA,NA,12,2.2,1.6,1.25,2.5,2.125,32.75,400.5168375,417.6527375,401.58945,2.5833333333333335,2.5,2.625
CZE,20300031,20300,CZE31,1,1,429,103,326,11,39,2.4,1.8,3,1,2.269230769230769,30.23076923076923,430.92340384615386,436.3777346153846,418.2235576923077,2.5641025641025643,2.3333333333333335,2.1666666666666665
CZE,20300032,20300,CZE04,1,1,256,123,133,10.8936,23.5,1.2,1,2,2.25,3.2,34,512.13192,485.14351999999997,453.81973999999997,2.9333333333333336,2.7333333333333334,2.666666666666667
CZE,20300033,20300,CZE05,0,1,449,223,226,16.0357,28,2,1.4,1,2,2.5,27.0625,455.27139375,431.1441875,454.17623125,2.375,2.7916666666666665,2.25
CZE,20300034,20300,CZE22,1,1,600,280,320,9.2308,65,1.6,1.8,1,1,2.5789473684210527,34.6578947368421,621.2952184210526,626.473102631579,609.0544789473685,2.6666666666666665,2.973684210526316,2.7982456140350878
