CNT,CNTSCHID,REGION,STRATUM,SC001Q01TA,SC011Q01TA,SCHSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,student_behavior_issue_mean,teacher_behavior_issue_mean,resources_issue_mean,staff_issues_mean,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA
HUN,34800264,34800,HUN01,3,3,920,475,445,12.8671,71.5,2.2,2.6,3.75,1.75,2,2,3,1,3,3,3,3,2,2,2,3,1,1,3,4,4,4
HUN,34800265,34800,HUN05,3,2,221,101,120,9.4043,23.5,1.6,1.8,1.75,1.75,2,2,2,1,1,3,1,1,2,2,2,2,2,1,3,2,1,1
HUN,34800266,34800,HUN05,3,1,1038,790,248,12.6585,82,2.6,1.2,2,2,3,3,3,2,2,2,1,1,1,1,3,2,2,1,1,2,2,3
HUN,34800267,34800,HUN01,5,1,577,286,291,10.6852,54,1,1.6,4,3,1,1,1,1,1,2,2,1,1,2,3,3,3,3,4,4,4,4
HUN,34800268,34800,HUN06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUN,34800269,34800,HUN01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUN,34800270,34800,HUN05,4,3,630,349,281,14.4828,43.5,1.4,1.8,3,1.75,1,2,2,1,1,2,2,2,2,1,2,1,3,1,3,3,3,3
HUN,34800271,34800,HUN02,3,1,553,262,291,12.8605,43,1.8,2,2.5,2.25,2,3,1,2,1,2,2,2,2,2,3,2,3,1,3,3,2,2
HUN,34800273,34800,HUN01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUN,34800274,34800,HUN02,3,1,528,213,315,11.6044,45.5,1,1.8,1.5,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,2,2
HUN,34800276,34800,HUN05,3,2,574,206,368,15.5135,37,1.2,1.2,1.75,1.5,1,2,1,1,1,1,2,1,1,1,1,2,2,1,3,2,1,1
HUN,34800277,34800,HUN01,3,1,219,119,100,7.4237,29.5,2.2,2.8,2,2,2,2,3,1,3,3,3,2,3,3,3,1,3,1,2,3,2,1
HUN,34800278,34800,HUN05,3,2,457,196,261,9.0495,50.5,1.2,1.2,1.75,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1
POL,61600001,61600,POL01,1,1,107,51,56,6.6875,16,1.2,1,1,2.75,1,2,1,1,1,1,1,1,1,1,2,3,3,3,1,1,1,1
POL,61600002,61600,POL03,3,1,1008,428,580,12.7595,79,1.6,1,1,1.75,3,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1
POL,61600003,61600,POL03,2,1,256,164,92,11.907,21.5,1.8,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POL,61600004,61600,POL02,2,1,176,63,113,9.5135,18.5,2,2.4,1.75,1.25,2,3,2,1,2,2,2,4,2,2,2,1,1,1,3,2,1,1
POL,61600005,61600,POL02,5,1,580,122,458,13.4884,43,2.4,2.6,2,3,3,3,2,2,2,3,2,3,3,2,4,4,2,2,2,2,2,2
POL,61600006,61600,POL02,1,1,251,95,156,12.8718,19.5,2.4,1,1.25,1.5,3,3,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1
POL,61600007,61600,POL04,3,1,256,232,24,13.1282,19.5,1.4,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POL,61600008,61600,POL03,4,3,936,355,581,13.0909,71.5,3,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1
POL,61600009,61600,POL03,4,1,977,949,28,9.8191,99.5,1.2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2
POL,61600010,61600,POL02,3,1,600,169,431,12.6316,47.5,1.6,1.2,1.25,1.75,2,3,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1
POL,61600011,61600,POL04,3,1,1252,685,567,10.7468,116.5,2.2,1.2,1.5,1.25,2,3,2,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2
POL,61600012,61600,POL03,1,2,165,79,86,11.3793,14.5,1.4,2,1.5,2,2,2,1,1,1,2,2,3,1,2,3,3,1,1,1,1,2,2
POL,61600013,61600,POL02,1,1,140,73,67,7.3684,19,1.8,1.6,1.75,1.5,3,2,2,1,1,2,2,2,1,1,3,1,1,1,2,2,1,2
POL,61600014,61600,POL02,4,1,450,137,313,13.0435,34.5,1.4,1.2,1,1.25,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1
POL,61600015,61600,POL03,3,1,533,217,316,13,41,1.6,2,1.25,1.5,2,2,2,1,1,2,1,3,2,2,3,1,1,1,2,1,1,1
POL,61600016,61600,POL02,4,3,317,133,184,4.9147,64.5,1.2,1.2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
POL,61600017,61600,POL02,4,2,128,25,103,9.1429,14,2,2,1,1.5,4,2,2,1,1,2,1,2,2,3,3,1,1,1,1,1,1,1
POL,61600019,61600,POL02,3,1,365,92,273,12.1667,30,1.6,1.6,1,2.5,2,3,1,1,1,2,1,1,2,2,2,2,3,3,1,1,1,1
POL,61600020,61600,POL04,3,2,152,132,20,8.4444,18,2.2,1.2,1,1.25,2,3,3,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1
